,emotion,timestamp
0,0.001774,08-09 11
1,0.983440,08-09 11
2,0.958099,08-09 11
3,0.999994,08-09 07
4,0.001053,08-08 04
5,0.961403,08-09 11
6,0.953715,07-19 05
7,0.209457,08-09 09
8,0.001844,08-09 11
9,0.997570,08-08 11
10,0.016402,08-09 11
11,0.000057,08-08 03
12,0.346905,08-09 11
13,0.000058,08-09 11
14,0.049620,08-09 11
15,0.000011,08-09 11
16,0.010390,08-09 11
17,0.001622,08-09 11
18,0.015366,08-09 11
19,0.997389,08-09 10
20,0.000544,07-29 07
21,0.983482,08-09 10
22,0.999994,08-09 11
23,0.302556,08-09 09
24,0.861373,08-09 11
25,0.985491,08-09 11
26,0.817352,08-09 11
27,0.090015,08-09 11
28,0.982290,08-08 11
29,0.996757,08-08 03
30,0.025553,08-09 11
